id;question;answer;unit;category;answer_type
597;Ile milimetrów ma 2 centymetry?;20.0;mm;jednostki;fakt
598;Ile minut ma 2,5 godziny?;150.0;min;czas;wyliczone(≈)
599;Ile centymetrów ma typowa grubość ściany z cegły (w przybliżeniu)?;25.0;cm;dom/DIY;około
600;Ile kilometrów ma promień Ziemi (w przybliżeniu)?;6371.0;km;geografia;około
601;Ile centymetrów ma długość łyżeczki (w przybliżeniu)?;14.0;cm;dom/kuchnia;typowo
602;Ile gramów mąki jest w 1 szklance mąki (w przybliżeniu)?;160.0;g;kuchnia/miary;typowo
603;Ile minut trwa set w tenisie stołowym (w przybliżeniu)?;8.0;min;sport;około
604;Ile dni trwa rok na Ziemi (średnio, w przybliżeniu)?;365.25;dni;czas;około
605;Ile kilometrów na godzinę może wiać huragan (w przybliżeniu)?;250.0;km/h;natura;około
606;Ile gramów ma typowa paczka mozzarelli tartej?;150.0;g;kuchnia/jedzenie;typowo
607;Ile centymetrów ma typowa szerokość drzwi wejściowych?;90.0;cm;dom;typowo
608;"Ile centymetrów ma standardowa przekątna monitora 24"" (w przybliżeniu)?";61.0;cm;technologia;wyliczone(≈)
609;Ile znaków ma najdłuższa domena internetowa (maks. długość FQDN, w przybliżeniu)?;253.0;znaków;technologia/internet;fakt
610;Ile mikrosekund ma jedna sekunda?;1000000.0;µs;czas;fakt
611;Ile milimetrów ma grubość karty płatniczej (w przybliżeniu)?;0.8;mm;codzienne/przedmioty;około
612;Ile metrów ma dystans biegu na 1500 metrów?;1500.0;m;sport;fakt
613;Ile metrów ma wysokość kosza do koszykówki od obręczy do tablicy (w przybliżeniu)?;0.3;m;sport;około
614;Ile metrów ma odległość rzutu karnego w piłce nożnej?;11.0;m;sport;fakt
615;Ile lat trwa jedno „stulecie”?;100.0;lat;czas;fakt
616;Ile procent dwutlenku węgla jest w powietrzu (w przybliżeniu, obecnie)?;0.04;%;nauka;około
617;Ile metrów ma standardowa rolka folii spożywczej (w przybliżeniu)?;30.0;m;dom/kuchnia;typowo
618;Ile centymetrów ma średnica patelni „małej” (w przybliżeniu)?;20.0;cm;dom/kuchnia;typowo
619;Ile kilometrów ma popularny bieg „dycha” (10K)?;10.0;km;sport;fakt
620;Ile stron ma typowy scenariusz filmu 2‑godzinnego (1 strona ≈ 1 minuta)?;120.0;str.;media/film;wyliczone(≈)
621;Ile metrów ma 1 mila lądowa?;1609.0;m;jednostki;fakt
622;Ile centymetrów ma szerokość karty płatniczej (w przybliżeniu)?;5.4;cm;codzienne/przedmioty;około
623;Ile kilometrów ma dystans Ironman – bieg (maraton)?;42.195;km;sport;fakt
624;Ile metrów ma wysokość Statuy Wolności (od ziemi do czubka pochodni, w przybliżeniu)?;93.0;m;geografia/budowle;około
625;Ile pensów jest w 1 funcie?;100.0;pensów;pieniądze;fakt
626;Ile bitów ma klucz AES‑128?;128.0;bit;technologia/bezpieczeństwo;fakt
627;Ile gramów ma typowa paczka kiełbasy parówek?;250.0;g;kuchnia/jedzenie;typowo
628;Ile gramów ma typowa tabliczka czekolady „duża”?;100.0;g;kuchnia/jedzenie;typowo
629;Ile gramów ma typowa paczka chusteczek higienicznych (w przybliżeniu)?;200.0;g;dom;około
630;Ile centymetrów ma 1 metr?;100.0;cm;jednostki;fakt
631;Ile dni trwa doba na Księżycu (w przybliżeniu)?;29.5;dni;kosmos;około
632;Ile centymetrów ma długość typowego noża kuchennego (w przybliżeniu)?;30.0;cm;dom/kuchnia;typowo
633;Ile gramów ma typowa paczka batoników (zwykła, w przybliżeniu)?;200.0;g;kuchnia/jedzenie;typowo
634;Ile procent tlenu jest w powietrzu (w przybliżeniu)?;21.0;%;nauka;około
635;Ile kilometrów na godzinę wieje umiarkowany wiatr (w przybliżeniu)?;20.0;km/h;natura;około
636;Ile sezonów ma serial 'Friends'?;10.0;sezonów;popkultura/seriale;fakt
637;Ile kilometrów na godzinę płynie duży statek wycieczkowy (w przybliżeniu)?;40.0;km/h;transport;około
638;Ile punktów gra się w tie-breaku w siatkówce (standardowo)?;15.0;pkt;sport;fakt
639;Ile metrów ma najgłębsze miejsce oceanu (Rów Mariański, w przybliżeniu)?;11000.0;m;geografia;około
640;Ile metrów ma wysokość Kilimandżaro (w przybliżeniu)?;5895.0;m;geografia;około
641;Ile gramów waży typowy kubek ceramiczny (w przybliżeniu)?;300.0;g;dom/kuchnia;typowo
642;Ile mililitrów ma typowy bidon sportowy?;750.0;ml;sport;typowo
643;Ile kart dostaje każdy gracz na start w UNO?;7.0;kart;gry;fakt
644;Ile minut trwa typowa reklama na YouTube przed filmem (w przybliżeniu)?;0.5;min;media;około
645;Ile gramów ma typowa paczka soli kuchennej?;1000.0;g;kuchnia/jedzenie;typowo
646;Ile sekund trwa typowe zagotowanie czajnika z 1 litrem wody (w przybliżeniu)?;180.0;s;dom/AGD;około
647;Ile minut trwa mecz hokeja na lodzie (3 tercje po 20 min, bez przerw)?;60.0;min;sport;fakt
648;Ilu hobbitów wchodzi w skład Drużyny Pierścienia?;4.0;osób;popkultura/film;fakt
649;Ile kilometrów na godzinę ma prędkość obrotowa Ziemi na równiku (w przybliżeniu)?;1670.0;km/h;geografia/kosmos;około
650;Ile watów ma szybka ładowarka do telefonu (w przybliżeniu)?;65.0;W;technologia/codzienne;typowo
651;Ile mililitrów ma 1/3 litra (w przybliżeniu)?;333.0;ml;jednostki;wyliczone(≈)
652;Ile metrów ma wysokość kosza w NBA/NCAA (standard)?;3.05;m;sport;fakt
653;Ile kilometrów wynosi 1 rok świetlny (w przybliżeniu)?;9460000000000.0;km;kosmos;około
654;Ile gramów cukru jest w 1 szklance cukru (w przybliżeniu)?;200.0;g;kuchnia/miary;typowo
655;Ile woltów ma port USB (standardowo)?;5.0;V;technologia/elektronika;fakt
656;Ile centymetrów ma typowa wysokość krzesła (od podłogi do siedziska)?;45.0;cm;dom;typowo
657;Ile minut trwa doba na Merkurym (w przybliżeniu)?;84240.0;min;kosmos;około
658;Ile stopni Celsjusza ma typowa temperatura pieczenia pizzy w piekarniku domowym?;220.0;°C;kuchnia;typowo
659;Ile litrów ma typowy kubek miarowy?;1.0;l;dom/kuchnia;typowo
660;Ile centymetrów ma średnica kubka (w przybliżeniu)?;8.0;cm;dom/kuchnia;typowo
661;Ile odcinków (w przybliżeniu) ma jeden sezon serialu sitcomowego?;24.0;odcinków;popkultura/seriale;typowo
662;Ile centymetrów ma długość standardowej linijki szkolnej?;30.0;cm;szkoła;fakt
663;Ile gramów waży typowy list w kopercie (bez załączników)?;20.0;g;codzienne;typowo
664;Ile dni ma kwiecień?;30.0;dni;czas;fakt
665;Ile minut trwa typowy koncert (w przybliżeniu)?;90.0;min;muzyka;typowo
666;Ile gramów ma typowa paczka rukoli/miksu sałat?;100.0;g;kuchnia/jedzenie;typowo
667;Ile sekund ma 2,5 godziny?;9000.0;s;czas;wyliczone(≈)
668;Ile metrów ma dystans biegu na 10 000 metrów?;10000.0;m;sport;fakt
669;Ile gramów ma typowa paczka popcornu do mikrofalówki?;100.0;g;kuchnia/jedzenie;typowo
670;Ile metrów ma dystans biegu na 5000 metrów?;5000.0;m;sport;fakt
671;Ile metrów ma szerokość boiska do squasha (w przybliżeniu)?;6.4;m;sport;fakt
672;Ile kilometrów na sekundę wynosi prędkość obiegu Ziemi wokół Słońca (w przybliżeniu)?;29.8;km/s;kosmos;około
673;Ile dni ma lipiec?;31.0;dni;czas;fakt
674;Ile gramów ma typowa paczka orzechów (w przybliżeniu)?;200.0;g;kuchnia/jedzenie;typowo
675;Ile osób (w przybliżeniu) pracuje przy dużym filmie (ekipa)?;200.0;osób;media/film;około
676;Ile rund ma turniej golfowy (standardowo)?;4.0;rundy;sport;fakt
677;Ile gramów ma typowa paczka kawy mielonej?;250.0;g;kuchnia/napoje;typowo
678;Ile znaków ma standardowy zestaw kart UNO (w przybliżeniu)?;108.0;kart;gry;fakt
679;Ile osób liczy „Czterej Jeźdźcy Apokalipsy”?;4.0;osób;popkultura/religia;fakt
680;Ile centymetrów ma średnica talerza obiadowego (w przybliżeniu)?;27.0;cm;dom/kuchnia;typowo
681;Ile bajtów ma 1 mebibajt (MiB)?;1048576.0;B;technologia;fakt
682;Ile minut trwa typowa przerwa szkolna?;10.0;min;szkoła;typowo
683;Ile centymetrów ma długość ostrza noża kuchennego (w przybliżeniu)?;20.0;cm;dom/kuchnia;typowo
684;Ile sekund trwa, zanim światło doleci z Ziemi na Księżyc (w przybliżeniu)?;1.3;s;kosmos;około
685;Ile metrów ma wysokość kosza w koszykówce dziecięcej (typowo, mini-basket)?;2.6;m;sport;typowo
686;Ile gramów ma typowa paczka kabanosów (w przybliżeniu)?;120.0;g;kuchnia/jedzenie;typowo
687;Ile sylab ma słowo „superkalifradalistyczny” (w przybliżeniu)?;8.0;sylab;język;około
688;Ile centymetrów ma typowa szczoteczka do zębów?;19.0;cm;dom/łazienka;typowo
689;Ile klatek ma minuta filmu w 24 fps?;1440.0;klatek;media;wyliczone(≈)
690;Ile kilometrów może mieć zasięg samolotu pasażerskiego dalekiego zasięgu (w przybliżeniu)?;14000.0;km;transport;około
691;Ile gramów ma typowa paczka herbaty liściastej lub ekspresowej?;100.0;g;kuchnia/napoje;typowo
692;Ile kilogramów to 1 tona?;1000.0;kg;jednostki;fakt
693;Ile kilogramów waży typowy worek cebuli (w przybliżeniu)?;1.0;kg;zakupy;typowo
694;Ile bajtów ma adres IPv6?;16.0;B;technologia/sieci;wyliczone(≈)
695;Ile banknotów po 1 gramie waży 100 gramów?;100.0;banknotów;pieniądze;wyliczone(≈)
696;Ile kostek lodu (po 20 g) waży 1 kilogram (w przybliżeniu)?;50.0;kostek;kuchnia;wyliczone(≈)
697;Ile mililitrów ma 1/4 szklanki (umownie 250 ml)?;62.5;ml;kuchnia/miary;wyliczone(≈)
698;Ile centymetrów ma wysokość typowego bidonu sportowego?;24.0;cm;sport;typowo
699;Ile sekund trwa 0,5 minuty?;30.0;s;czas;wyliczone(≈)
700;Ile centymetrów ma długość zapałki (w przybliżeniu)?;4.5;cm;codzienne/przedmioty;typowo
701;Ile gramów ma typowa paczka mrożonych frytek?;750.0;g;kuchnia/jedzenie;typowo
702;Ile żyć ma typowo gracz w klasycznych grach arcade (w przybliżeniu)?;3.0;żyć;gry;typowo
703;Ile kilometrów ma dystans triathlonu olimpijskiego – bieg?;10.0;km;sport;fakt
704;Ile liter ma alfabet hebrajski?;22.0;liter;język;fakt
705;Ile sezonów ma serial 'Breaking Bad'?;5.0;sezonów;popkultura/seriale;fakt
706;Ile znaków ma standardowy adres MAC z dwukropkami (np. AA:BB:...)?;17.0;znaków;technologia/sieci;fakt
707;Ile pikseli ma rozdzielczość 4K UHD (3840×2160)?;8294400.0;px;technologia;wyliczone(≈)
708;Ile gramów ma typowa paczka mąki?;1000.0;g;kuchnia/jedzenie;typowo
709;Ile kilometrów na godzinę może płynąć rekin (w przybliżeniu)?;50.0;km/h;natura/zwierzęta;około
710;Ile centymetrów ma typowa średnica monety (w przybliżeniu)?;2.3;cm;pieniądze;około
711;Ile gramów waży typowa moneta obiegowa (w przybliżeniu)?;6.0;g;pieniądze;około
712;Ile litrów ma typowy dzbanek filtrujący do wody?;2.4;l;dom/kuchnia;typowo
713;Ile centymetrów ma długość długopisu (w przybliżeniu)?;14.0;cm;codzienne/przedmioty;typowo
714;Ile sztuk tortilli bywa w typowej paczce?;6.0;szt.;kuchnia/jedzenie;typowo
715;Ile mililitrów ma typowa śmietanka 30% w kartoniku?;200.0;ml;kuchnia/jedzenie;typowo
716;Ile minut trwa typowy trailer kinowy (w przybliżeniu)?;2.5;min;media/film;typowo
717;Ile liter ma słowo „konstantynopolitańczykowianeczka”?;32.0;liter;język;fakt
718;Ile litrów ma typowy kosz na śmieci kuchenny?;30.0;l;dom;typowo
719;Ile centymetrów ma średnica patelni „dużej” (w przybliżeniu)?;28.0;cm;dom/kuchnia;typowo
720;Ile dni ma sierpień?;31.0;dni;czas;fakt
721;Ile dżuli ma 1 watogodzina (Wh) (w przybliżeniu)?;3600.0;J;technologia/energia;fakt
722;Ile metrów ma wysokość najwyższego szczytu Europy (Elbrus, w przybliżeniu)?;5642.0;m;geografia;około
723;Ile bitów ma klucz AES‑256?;256.0;bit;technologia/bezpieczeństwo;fakt
724;Ile metrów ma wysokość Mont Blanc (w przybliżeniu)?;4808.0;m;geografia;około
725;Ilu zawodników jest na lodzie w hokeju (jedna drużyna, łącznie z bramkarzem)?;6.0;osób;sport;fakt
726;Ile postaci jest w tytule 'Trzej Muszkieterowie'?;3.0;osób;popkultura/książki;fakt
727;Ile centymetrów ma długość łyżki do zupy (w przybliżeniu)?;17.0;cm;dom/kuchnia;typowo
728;Ile metrów ma dystans triathlonu olimpijskiego – pływanie?;1500.0;m;sport;fakt
729;Ile metrów ma typowa wysokość człowieka w przeliczeniu na milimetry (175 cm)?;1750.0;mm;jednostki;wyliczone(≈)
730;Ile stopni Celsjusza ma typowa temperatura pieczenia ciasta?;180.0;°C;kuchnia;typowo
731;Ile mililitrów ma typowy żel pod prysznic?;400.0;ml;dom/łazienka;typowo
732;Ile życzeń spełnia dżin w klasycznej bajce (typowo)?;3.0;życzenia;popkultura/bajki;umownie
733;Ile kilometrów ma 1 mila lądowa (w przybliżeniu)?;1.609;km;jednostki;fakt
734;Ile herców ma sieć energetyczna w USA?;60.0;Hz;technologia/elektryka;fakt
735;Ile klatek ma 10 sekund filmu w 24 fps?;240.0;klatek;media;wyliczone(≈)
736;Ile sekund ma 0,25 godziny?;900.0;s;czas;wyliczone(≈)
737;Ile metrów ma standardowa wysokość kosza do koszykówki (3,05 m) w centymetrach?;305.0;cm;sport;wyliczone(≈)
738;Ile metrów ma wysokość wieży Eiffla (w przybliżeniu, z anteną)?;330.0;m;geografia/budowle;około
739;Ile kilogramów waży typowy worek gipsu (w przybliżeniu)?;20.0;kg;dom/DIY;typowo
740;Ile mililitrów ma typowa butelka oleju spożywczego?;1000.0;ml;kuchnia/jedzenie;typowo
741;Ile metrów ma długość stołu do tenisa stołowego?;2.74;m;sport;fakt
742;Ile dżuli ma 1 kilowatogodzina (kWh)?;3600000.0;J;technologia/energia;fakt
743;Ile rund ma typowy wyścig kolarski (Tour de France) (w przybliżeniu)?;21.0;etapów;sport;około
744;Ile milimetrów ma 1 metr?;1000.0;mm;jednostki;fakt
745;Ile mililitrów ma standardowa miarka do leków (łyżeczka miarowa)?;5.0;ml;zdrowie;typowo
746;Ile gramów ma typowa paczka ciecierzycy suchej?;400.0;g;kuchnia/jedzenie;typowo
747;Ile krążków (pucków) jest na rozpoczęciu meczu hokeja (na lodzie)?;1.0;szt.;sport;fakt
748;Ile wiadomości SMS wysyła przeciętna osoba dziennie (w przybliżeniu)?;10.0;SMS;codzienne;około
749;Ile kilometrów wynosi średnia odległość Ziemi od Księżyca (w przybliżeniu)?;384400.0;km;kosmos;około
750;Ile litrów ma typowy dzbanek do herbaty (w przybliżeniu)?;1.0;l;dom/kuchnia;typowo
751;Ile metrów ma szerokość stołu do tenisa stołowego?;1.525;m;sport;fakt
752;Ile minut trwa gotowanie ziemniaków (w przybliżeniu)?;20.0;min;kuchnia/jedzenie;typowo
753;Ile tomów ma klasyczna trylogia 'Millennium' Stiega Larssona?;3.0;tomów;popkultura/książki;fakt
754;Ile centymetrów ma 2 metry?;200.0;cm;jednostki;fakt
755;Ile kalorii ma typowe jabłko (w przybliżeniu)?;95.0;kcal;zdrowie/jedzenie;około
756;Ile punktów potrzeba, by wygrać w UNO (standardowa zasada)?;500.0;pkt;gry;fakt
757;Ile gramów waży typowa łyżka stołowa?;30.0;g;dom/kuchnia;typowo
758;Ile gramów to 1 kilogram?;1000.0;g;jednostki;fakt
759;Ile dni w roku jest słonecznych w typowym śródziemnomorskim kurorcie (w przybliżeniu)?;300.0;dni;podróże;około
760;Ile gramów ma typowa paczka pieprzu mielonego?;20.0;g;kuchnia/przyprawy;typowo
761;Ile kilometrów na litrze przejedzie motocykl przy spalaniu 4 l/100 km?;25.0;km;transport;wyliczone(≈)
762;Ile metrów ma standardowa rolka folii aluminiowej (w przybliżeniu)?;20.0;m;dom/kuchnia;typowo
763;Ile litrów ma typowa patelnia/wok (pojemność, w przybliżeniu)?;2.0;l;dom/kuchnia;około
764;Ile centymetrów ma wysokość siatki w tenisie (przy słupkach)?;107.0;cm;sport;fakt
765;Ile minut trwa gotowanie makaronu al dente (w przybliżeniu)?;9.0;min;kuchnia/jedzenie;typowo
766;Ile kilogramów waży typowy worek zaprawy klejowej (w przybliżeniu)?;25.0;kg;dom/DIY;typowo
767;Ile megabajtów na sekundę to 1 gigabit/s (w przybliżeniu)?;125.0;MB/s;technologia;wyliczone(≈)
768;Ile dBi ma typowa antena routera domowego (w przybliżeniu)?;5.0;dBi;technologia/sieci;typowo
769;Ile centymetrów ma średnica talerza deserowego (w przybliżeniu)?;20.0;cm;dom/kuchnia;typowo
770;Ile par ma standardowa skrętka Ethernet?;4.0;par;technologia/sieci;fakt
771;Ile metrów ma długość boiska do futbolu amerykańskiego (w przybliżeniu, bez pól punktowych)?;91.4;m;sport;około
772;Ile jest kamieni nieskończoności (Infinity Stones) w uniwersum Marvela?;6.0;szt.;popkultura/film;fakt
773;Ile mililitrów ma 1/2 szklanki (umownie 250 ml)?;125.0;ml;kuchnia/miary;wyliczone(≈)
774;Ile gramów ma typowa porcja warzyw do obiadu (w przybliżeniu)?;200.0;g;kuchnia/jedzenie;typowo
775;Ile gramów ma typowa paczka płatków do panierki (bułka tarta)?;500.0;g;kuchnia/jedzenie;typowo
776;Ile kilometrów ma długość autostradowego odcinka 100 km w metrach?;100000.0;m;jednostki;wyliczone(≈)
777;Ile centymetrów ma średnica typowego naleśnika?;22.0;cm;kuchnia/jedzenie;typowo
778;Ile metrów ma średnica obręczy koszykarskiej (w przybliżeniu)?;0.45;m;sport;około
779;Ile minut trwa typowe zagotowanie czajnika z 1 litrem wody (w przybliżeniu)?;3.0;min;dom/AGD;około
780;Ile procent azotu jest w powietrzu (w przybliżeniu)?;78.0;%;nauka;około
781;Ile gramów ma typowa paczka tortilli (w przybliżeniu)?;370.0;g;kuchnia/jedzenie;typowo
782;Ile gramów ma typowa paczka przyprawy jednoskładnikowej (np. papryka)?;20.0;g;kuchnia/przyprawy;typowo
783;Ile minut trwa długa przerwa szkolna (w przybliżeniu)?;20.0;min;szkoła;typowo
784;Ile baterii AA mieści się w typowym pilocie do TV?;2.0;szt.;dom/technologia;typowo
785;Ile kilometrów ma najdłuższa rzeka świata (w przybliżeniu)?;6650.0;km;geografia;około
786;Ile żył ma skrętka Ethernet (pełna, 4 pary)?;8.0;żył;technologia/sieci;fakt
787;Ile litrów powietrza ma wdech dorosłego w spoczynku (w przybliżeniu)?;0.5;l;człowiek/zdrowie;około
788;Ile kilometrów na godzinę jedzie pociąg dużych prędkości (w przybliżeniu)?;300.0;km/h;transport;około
789;Ile gramów waży piłka nożna (w przybliżeniu)?;430.0;g;sport;około
790;Ile sekund trwa minuta ciszy?;60.0;s;ciekawostki;fakt
791;Ile gramów ma typowa paczka wafli ryżowych?;130.0;g;kuchnia/jedzenie;typowo
792;Ile bajtów ma 1 terabajt (TB) w uproszczeniu dziesiętnym?;1000000000000.0;B;technologia;umownie
793;Ile gramów waży typowa pocztówka?;5.0;g;codzienne/przedmioty;typowo
794;Ile misiów wchodzi w skład 'Trzech misiów'?;3.0;misie;popkultura/bajki;fakt
795;Ile książek ma 'Trylogia' Igrzysk Śmierci?;3.0;książki;popkultura/książki;fakt
796;Ile sekund ma 5 minut?;300.0;s;czas;wyliczone(≈)
797;Ile gramów ma typowy twaróg w kostce?;250.0;g;kuchnia/jedzenie;typowo
798;Ile centymetrów ma wysokość siatki w tenisie (na środku)?;91.4;cm;sport;fakt
799;Ile centymetrów ma długość przeciętnej pszczoły (w przybliżeniu)?;1.5;cm;natura/zwierzęta;około
800;Ile portów ma zakres portów TCP/UDP (0–65535)?;65536.0;portów;technologia/sieci;fakt
801;Ile wynosi 75% z 100?;75.0;jedn.;konwersje/procenty;wyliczone(≈)
802;Jaka liczba występuje w tytule film „2046”?;2046.0;liczba;popkultura/tytuły;fakt
803;W którym roku powstała gra Tetris (około)?;1984.0;rok;historia;około
804;Ile minut czeka się w typowej kolejce do kasy (w przybliżeniu)?;5.0;min;świat/społeczeństwo;typowo
805;W którym roku rozpoczęła się era kosmiczna (Sputnik 1)?;1957.0;rok;historia;fakt
806;Ile litrów to 500 ml?;0.5;l;konwersje/objętość;wyliczone(≈)
807;Ile stron ma typowa książka dla dzieci (w przybliżeniu)?;64.0;str.;kultura/książki;typowo
808;Ile czerwonych bil jest w snookerze na starcie?;15.0;szt.;sport/snooker;fakt
809;Ile centymetrów to 2 m?;200.0;cm;konwersje/dystans;wyliczone(≈)
810;Ile odcinków ma typowy sezon serialu w streamingu (w przybliżeniu)?;10.0;odc.;popkultura/seriale;typowo
811;Ile lat żyje orka (w przybliżeniu)?;50.0;lat;natura/zwierzęta;około
812;Ile wysp tworzy Hawaje (główne wyspy, w przybliżeniu)?;8.0;wysp;geografia;około
813;W którym roku zakończyła się II wojna światowa w Europie?;1945.0;rok;historia;fakt
814;Ile MB to 8 294 400 bajtów (w przybliżeniu dziesiętnym)?;8.2944;MB;technologia/grafika;wyliczone(≈)
815;Ile minut trwa standardowy mecz rugby league?;80.0;min;sport/rugby;fakt
816;Ile wynosi 5% z 120?;6.0;jedn.;konwersje/procenty;wyliczone(≈)
817;W którym roku WHO ogłosiła COVID-19 pandemią?;2020.0;rok;historia;fakt
818;Ile boków ma dwunastokąt?;12.0;boków;ciekawostki/geometria;fakt
819;W którym roku rozpoczęła się rewolucja francuska?;1789.0;rok;historia;fakt
820;Ile wynosi 75% z 500?;375.0;jedn.;konwersje/procenty;wyliczone(≈)
821;Ile znaków (hex) ma skrót SHA‑1?;40.0;znaków;technologia/bezpieczeństwo;fakt
822;Ile minut trwa 1.5 godziny?;90.0;min;konwersje/czas;wyliczone(≈)
823;Ile bajtów ma słowo 16‑bit?;2.0;B;technologia;fakt
824;Ile godzin ma 2 dni?;48.0;h;konwersje/czas;wyliczone(≈)
825;Ile punktów zdobywa się za rzut wolny w koszykówce?;1.0;pkt;sport/koszykówka;fakt
826;W którym roku oddano do użytku Kanał La Manche tunel (Eurotunel)?;1994.0;rok;historia;fakt
827;Ile kolorów ma standardowy zestaw LEGO (klocki mogą mieć wiele, ale klasyczne podstawowe to kilka)?;6.0;kolorów;popkultura/zabawki;umownie
828;Ile białych pól ma plansza 8×8?;32.0;pól;gry/logika;wyliczone(≈)
829;Ile znaków (bitów) ma IPv4 w zapisie kropkowym – ile oktetów?;4.0;oktetów;technologia/sieci;fakt
830;Ile kilogramów to 200 g?;0.2;kg;konwersje/masa;wyliczone(≈)
831;Ile litrów to 750 ml?;0.75;l;konwersje/objętość;wyliczone(≈)
832;Ile milisekund jest w sekundzie?;1000.0;ms;technologia/czas;fakt
833;Jaka liczba występuje w tytule film „District 9”?;9.0;liczba;popkultura/tytuły;fakt
834;Ile znaków ma kod QR w małej wersji (w przybliżeniu, bardzo zależy)?;100.0;znaków;technologia;około
835;Ile metrów to 5 km?;5000.0;m;konwersje/dystans;wyliczone(≈)
836;Jaka jest maksymalna/przybliżona prędkość wydra?;11.0;km/h;natura/zwierzęta;około
837;Ile lat żyje pingwin (w przybliżeniu)?;20.0;lat;natura/zwierzęta;około
838;Ile wynosi 75% z 80?;60.0;jedn.;konwersje/procenty;wyliczone(≈)
839;Ile krawędzi ma dodekaedr?;30.0;krawędzi;ciekawostki/geometria;fakt
840;W którym roku powstał pierwszy bankomat (w użyciu, około)?;1967.0;rok;historia;około
841;Ile godzin ma 2 tygodnie?;336.0;h;konwersje/czas;wyliczone(≈)
842;Ile części ma klasyczna baśń „Trzy życzenia”?;3.0;szt.;popkultura/bajki;umownie
843;Ile dni ma miesiąc „typowo” w uproszczeniu kalendarzowym?;30.0;dni;czas;umownie
844;Ile metrów to 42.195 km?;42195.0;m;konwersje/dystans;wyliczone(≈)
845;Ile metrów ma 1 kilometr?;1000.0;m;jednostki;fakt
846;Ile lat żyje kangur (w przybliżeniu)?;20.0;lat;natura/zwierzęta;około
847;Ile bajtów ma typowy adres MAC?;6.0;B;technologia/sieci;fakt
848;Ile minut trwa typowe mycie zębów (zalecenie)?;2.0;min;świat/zdrowie;typowo
849;Ile wynosi 80% z 80?;64.0;jedn.;konwersje/procenty;wyliczone(≈)
850;Ile metrów ma bieg na 400 m (jedno okrążenie stadionu)?;400.0;m;sport/lekkoatletyka;fakt
851;Jaka jest maksymalna/przybliżona prędkość lama?;30.0;km/h;natura/zwierzęta;około
852;Ile miejsc ma typowy wagon metra (w przybliżeniu)?;200.0;osób;transport;typowo
853;Jaka liczba występuje w tytule film „Szósty zmysł”?;6.0;liczba;popkultura/tytuły;fakt
854;Ile lat żyje zebra (w przybliżeniu)?;20.0;lat;natura/zwierzęta;około
855;Ile metrów ma maksymalna zalecana długość kabla Ethernet dla 1000BASE‑T (w przybliżeniu)?;100.0;m;technologia/sieci;fakt
856;Ile gramów to 0.1 kg?;100.0;g;konwersje/masa;wyliczone(≈)
857;Ile metrów ma boisko do piłki ręcznej (szerokość)?;20.0;m;sport/piłka ręczna;fakt
858;Ile kilogramów to 250 g?;0.25;kg;konwersje/masa;wyliczone(≈)
859;Ile minut trwa jedna tercja w hokeju na lodzie?;20.0;min;sport/hokej;fakt
860;Ile centymetrów to 1000 m?;100000.0;cm;konwersje/dystans;wyliczone(≈)
861;W którym roku miał premierę pierwszy film z serii „Szybcy i wściekli”?;2001.0;rok;historia;fakt
862;Jaka liczba występuje w tytule książka „80 dni dookoła świata”?;80.0;liczba;popkultura/tytuły;fakt
863;Ile milimetrów to 100 m?;100000.0;mm;konwersje/dystans;wyliczone(≈)
864;Ile voltów ma standardowe USB (klasyczne)?;5.0;V;technologia/elektryka;fakt
865;Ile bajtów ma słowo 32‑bit?;4.0;B;technologia;fakt
866;Ile bil jest w bilardzie „ósemka” (pool) łącznie z białą?;16.0;szt.;sport/bilard;fakt
867;Ile krawędzi ma sześcian?;12.0;szt.;matematyka;fakt
868;Ile wynosi 10% z 250?;25.0;jedn.;konwersje/procenty;wyliczone(≈)
869;Ile utworów ma typowa płyta muzyczna (album) – w przybliżeniu?;12.0;utworów;popkultura/muzyka;typowo
870;Ile minut trwa dogrywka w hokeju (w przybliżeniu, sezon regularny zależy od ligi)?;5.0;min;sport/hokej;około
871;Ile wynosi 90% z 20?;18.0;jedn.;konwersje/procenty;wyliczone(≈)
872;W którym roku odkryto strukturę DNA (publikacja Watson/Crick)?;1953.0;rok;historia;fakt
873;Ile metrów to 7.5 km?;7500.0;m;konwersje/dystans;wyliczone(≈)
874;W którym roku wynaleziono telefon (patent Bella)?;1876.0;rok;historia;fakt
875;W którym roku podpisano Deklarację Praw Człowieka i Obywatela (Francja)?;1789.0;rok;historia;fakt
876;Ile lat żyje komar (w przybliżeniu)?;0.1;lat;natura/zwierzęta;około
877;Ile wynosi 75% z 200?;150.0;jedn.;konwersje/procenty;wyliczone(≈)
878;Ile uczniów jest w typowej grupie przedszkolnej (w przybliżeniu)?;20.0;osób;świat/społeczeństwo;typowo
879;Jaka liczba występuje w tytule film „Catch-22”?;22.0;liczba;popkultura/tytuły;fakt
880;W którym roku odbył się pierwszy lot braci Wright?;1903.0;rok;historia;fakt
881;Ile dni trwa post w Wielkim Poście (tradycyjnie, w przybliżeniu)?;40.0;dni;kultura/religia;umownie
882;Jaka liczba występuje w tytule książka „20 000 mil podmorskiej żeglugi”?;20000.0;liczba;popkultura/tytuły;fakt
883;Ile minut ma kwadrans?;15.0;min;czas/ciekawostki;fakt
